Species,Plot,Elevation,sex,bodysize,headlenth,headwidth,thoraxlenth,thoraxwidth,elytralenth,bodywidth,femur,tibia,antenna,hindwing,leglenth
Nicrophorus tenuipes,2,1100,0,19.43768,4.74154,4.15126,4.57473,5.85999,10.12141,7.49773,5.30621,5.20419,4.86925,22.2,10.5104
Nicrophorus tenuipes,2,1100,0,20.13657,4.96827,4.40038,4.81695,6.09276,10.35135,7.65893,5.57824,4.81354,4.89811,23.5,10.39178
Nicrophorus vespilloides,2,1100,1,15.67283,4.04285,3.34374,3.81176,5.07538,7.81822,6.51753,3.88335,3.84308,3.44165,16,7.72643
Nicrophorus vespilloides,2,1100,0,15.31019,3.56502,3.09414,3.75384,5.01284,7.99133,6.48837,3.94145,3.85575,3.62761,17,7.7972
Oiceoptoma thoracicum,2,1100,0,15.88532,2.27055,2.29358,3.92682,6.92957,9.68795,7.82263,3.76414,3.60976,3.74559,14,7.3739
Nicrophorus quadripunctatus ,3,1100,1,18.84778,4.90648,4.28886,4.42312,5.55418,9.51818,6.85758,4.51359,3.93299,4.51655,20,8.44658
Nicrophorus quadripunctatus ,3,1100,1,15.83961,4.10779,3.64435,3.77231,4.89034,7.95951,6.23461,3.8891,3.64932,3.36964,18,7.53842
Nicrophorus quadripunctatus ,3,1100,0,16.31045,4.16341,3.36272,4.06263,4.75846,8.08441,6.29132,3.89199,4.01559,3.54662,18,7.90758
Nicrophorus quadripunctatus ,3,1100,0,19.14829,4.5705,3.85262,4.59352,5.80406,9.98427,7.57987,4.71669,4.47404,4.3357,21,9.19073
Nicrophorus quadripunctatus ,3,1100,0,16.29375,3.81364,3.21108,4.17431,4.71633,8.3058,5.96646,3.91946,3.69788,3.5372,18,7.61734
Silpha perforata,3,1100,0,19.86341,2.91079,2.92044,5.43117,8.63796,11.52145,8.99402,5.21872,4.56066,5.88838,1.66242,9.77938
Nicrophorus tenuipes,3,1100,1,18.53671,4.99645,4.00197,4.3193,5.50755,9.22096,7.12776,4.8924,4.57627,4.5461,21,9.46867
Nicrophorus tenuipes,3,1100,1,17.49051,4.65636,3.80004,4.10391,5.12576,8.73024,6.859,4.51309,4.5402,4.03892,20,9.05329
Nicrophorus tenuipes,3,1100,0,18.96136,4.68851,4.16515,4.81081,5.67634,9.46204,7.33487,4.98726,4.85159,4.02146,22,9.83885
Nicrophorus tenuipes,3,1100,0,19.94828,4.90962,4.38574,4.91788,6.22261,10.12078,7.8794,5.30432,5.08859,4.64742,23,10.39291
Nicrophorus maculifrons,3,1100,0,17.33428,3.89712,3.47145,4.29413,5.15929,9.14303,6.39309,4.1889,3.83414,3.68046,21,8.02304
Nicrophorus quadripunctatus ,4,1100,0,16.96155,4.00808,3.56858,4.03796,5.26896,8.91551,6.79973,4.20971,3.86697,3.93386,19.3,8.07668
Nicrophorus vespilloides,4,1100,1,18.13246,4.79016,4.35113,4.1926,5.66138,9.1497,7.60031,4.1738,4.27172,3.927,18,8.44552
Oiceoptoma thoracicum,4,1100,0,15.45179,2.482,2.36424,4.01308,6.9503,8.95671,8.17383,3.84298,3.50109,3.6264,14,7.34407
Nicrophorus quadripunctatus ,5,1100,0,17.51122,4.17896,3.4609,4.25831,5.17668,9.07395,6.80089,4.2417,3.93678,3.88587,19.7,8.17848
Nicrophorus tenuipes,5,1100,0,17.36512,4.14355,3.63173,4.22505,5.31609,8.99652,6.8879,4.73441,4.55564,4.25291,20.5,9.29005
Nicrophorus maculifrons,5,1100,0,16.65598,3.91501,3.40018,3.9547,4.97064,8.78627,6.36738,3.6827,3.84708,3.53431,19.6,7.52978
Oiceoptoma thoracicum,5,1100,1,15.61797,2.37427,2.25595,3.96974,6.68623,9.27396,7.71219,3.58156,3.39866,3.6085,13,6.98022
Oiceoptoma thoracicum,5,1100,0,16.12981,2.26253,2.28287,4.00442,7.14738,9.86286,8.4644,3.82005,3.50747,3.79915,13,7.32752
Nicrophorus tenuipes,6,1100,1,19.21962,5.09548,4.25782,4.46566,5.7638,9.65848,7.2966,4.95785,5.14317,4.75376,22,10.10102
Nicrophorus tenuipes,6,1100,0,18.65148,4.53614,4.085,4.4693,5.58844,9.64604,7.62958,4.94324,4.81616,4.14679,22,9.7594
Nicrophorus tenuipes,6,1100,0,18.62885,4.47084,3.97957,4.52012,5.43677,9.63789,7.4167,5.01752,4.93885,4.71253,22,9.95637
Nicrophorus tenuipes,6,1100,0,16.86221,4.19739,3.5805,3.95038,5.1247,8.71444,6.59425,4.65617,4.20135,3.69442,20,8.85752
Nicrophorus maculifrons,6,1100,0,17.0225,3.94319,3.44331,4.08567,5.27238,8.99364,6.55701,4.09029,4.06718,4.15429,20,8.15747
Nicrophorus maculifrons,6,1100,0,16.94512,3.92682,3.39607,4.01311,4.98686,9.00519,6.78825,4.15689,4.02625,3.99688,20,8.18314
Nicrophorus tenuipes,7,1100,0,15.48443,3.7274,3.272,3.69799,4.72193,8.05904,5.96362,4.02684,4.30494,4.09087,17,8.33178
Nicrophorus vespilloides,7,1100,0,13.95984,3.14627,2.77761,3.49532,4.51304,7.31825,6.11702,3.46354,3.3682,3.38971,15,6.83174
Oiceoptoma thoracicum,7,1100,1,14.8698,2.24289,2.26004,3.99324,6.60139,8.63367,7.61288,3.56841,3.30548,3.70414,12,6.87389
Oiceoptoma thoracicum,7,1100,0,15.58915,2.51069,2.14259,3.52631,6.29308,9.55215,7.2742,3.13866,2.97312,3.29317,13,6.11178
Silpha perforata,1,1250,0,19.63002,3.1533,2.99699,5.38139,8.27205,11.09533,8.87311,5.25331,5.2267,5.58618,1.20195,10.48001
Nicrophorus tenuipes,1,1250,1,17.97291,4.40039,3.88139,4.2719,5.30748,9.30062,7.03495,4.74862,4.92824,4.77361,21,9.67686
Nicrophorus maculifrons,1,1250,0,19.45758,4.37323,3.83379,4.64617,5.77673,10.43818,7.30647,4.58901,4.613,4.38473,23,9.20201
Nicrophorus vespilloides,1,1250,0,17.09373,3.95925,3.45343,4.22449,5.37551,8.90999,7.34233,4.2947,4.21347,4.08587,18,8.50817
Nicrophorus quadripunctatus ,2,1250,1,17.36037,4.62646,4.07855,4.17486,5.07525,8.55905,6.35616,4.41631,4.2313,4.25778,18,8.64761
Nicrophorus quadripunctatus ,2,1250,1,18.07332,4.85823,4.10192,4.16796,5.12118,9.04713,6.69368,4.40677,4.28338,4.14248,19.5,8.69015
Nicrophorus quadripunctatus ,2,1250,0,16.56374,3.87245,3.35406,4.12883,4.92318,8.56246,6.81418,3.83908,4.12673,3.80988,18.5,7.96581
Nicrophorus quadripunctatus ,2,1250,0,17.8636,4.6773,4.15386,4.20982,5.30756,8.97648,6.95128,4.53758,4.13577,4.31903,19,8.67335
Nicrophorus quadripunctatus ,2,1250,0,15.15725,3.49861,3.0257,3.8224,4.52998,7.83624,5.88468,3.71038,3.55036,3.42363,16,7.26074
Silpha perforata,2,1250,1,18.99793,3.46528,2.74719,4.76702,7.97377,10.76563,8.50112,4.78108,4.11626,5.80849,1.15413,8.89734
Silpha perforata,2,1250,0,18.13717,3.11402,2.83384,4.81245,7.9422,10.2107,8.61909,4.78867,4.85889,5.62576,1.12233,9.64756
Silpha perforata,2,1250,0,17.57614,3.05527,2.65857,4.55934,7.29761,9.96153,7.58081,4.63117,4.43262,5.52863,1.27806,9.06379
Silpha perforata,2,1250,0,19.56797,3.29439,2.79976,4.91381,8.11351,11.35977,8.50112,4.85857,4.86509,5.59339,1.48979,9.72366
Silpha perforata,2,1250,0,19.07187,3.0307,2.71694,5.10845,8.23636,10.93272,8.69535,5.02907,5.01838,6.04633,0.99659,10.04745
Nicrophorus tenuipes,2,1250,1,19.01954,5.19015,4.32797,4.62196,5.46583,9.20743,7.3439,5.1004,5.26544,4.7914,25,10.36584
Nicrophorus tenuipes,2,1250,0,20.15827,4.63567,4.25187,4.85973,5.78697,10.66287,7.79925,5.31128,5.38028,4.94008,24,10.69156
Nicrophorus tenuipes,2,1250,0,19.79074,4.90016,4.21402,4.86296,5.91333,10.02762,7.65113,5.32934,4.91481,5.12247,23,10.24415
Nicrophorus tenuipes,2,1250,0,19.11465,4.83431,4.05068,4.60248,5.75264,9.67786,7.64338,4.89374,5.0217,4.7834,22,9.91544
Nicrophorus tenuipes,2,1250,0,18.74288,4.82985,3.8508,4.29886,5.59244,9.61417,7.13942,4.95692,4.70718,4.38991,22,9.6641
Nicrophorus tenuipes,2,1250,0,21.64512,5.57067,4.6055,5.03665,6.11979,11.0378,8.02094,5.67513,5.71785,4.94002,26,11.39298
Nicrophorus maculifrons,2,1250,0,17.05866,3.95217,3.54826,4.10606,5.02627,9.00043,7.09212,4.01582,3.86161,3.79121,20,7.87743
Nicrophorus maculifrons,2,1250,0,15.42556,3.48682,3.11722,3.66202,4.56612,8.27672,6.16386,3.82714,3.43118,3.42435,18,7.25832
Nicrophorus vespilloides,2,1250,1,17.29991,4.54309,3.7241,4.13329,5.45893,8.62353,7.10151,4.46709,4.30104,4.13501,18,8.76813
Nicrophorus vespilloides,2,1250,1,15.50863,4.01963,3.21733,3.50524,4.62251,7.98376,6.30434,3.71455,3.42317,3.69932,16,7.13772
